"long","lat","DMA","mag"
-124.1636729,40.8020712,"EUREKA",479350.040115356
-123.0867536,44.0520691,"EUGENE",663009.350097656
-122.6764815,45.5230622,"PORTLAND OR",654798.89440918
-122.438479,37.7299339,"SAN FRANCISCO-OAK-SAN JOSE",772860.361572266
-122.3088165,47.4502499,"SEATTLE-TACOMA",660841.674926758
-121.8297104,39.7572022,"CHICO-REDDING",674821.90234375
-121.7722781,42.224924,"MEDFORD-KLAMATH FALLS",674019.547851562
-121.6555013,36.6777372,"MONTEREY-SALINAS",571107.352767944
-121.3153096,44.0581728,"BEND, OR",567075.07900238
-121.0174241,37.6672768,"SACRAMNTO-STKTON-MODESTO",698289.669189453
-119.8138027,39.5296329,"RENO",616621.558380127
-119.2920585,36.3302284,"FRESNO-VISALIA",693495.004760742
-119.0187125,35.3732921,"BAKERSFIELD",684123.491455078
-118.431585,34.1479081,"SHERMAN-ADA",580695.474197388
-118.2436849,34.0522342,"LOS ANGELES",608401.146362305
-117.4260465,47.6587802,"SPOKANE",604350.741096497
-117.1610838,32.715738,"SAN DIEGO",759993.30456543
-116.5452921,33.8302961,"PALM SPRINGS",602100.973846436
-116.2146068,43.6187102,"BOISE",582753.22253418
-115.1398296,36.1699412,"LAS VEGAS",673848.439208984
-114.5269943,32.7007436,"YUMA-EL CENTRO",547828.268886566
-114.4608711,42.5629668,"TWIN FALLS",566856.227110863
-113.996586,46.8787176,"MISSOULA",525708.710090637
-112.4507767,42.8873614,"IDAHO FALS-POCATLLO(JCKSN)",533270.983154297
-112.0740373,33.4483771,"PHOENIX (PRESCOTT)",674000.023071289
-112.0245054,46.5883707,"HELENA",522997.032653809
-111.984561,40.507374,"CASPER-RIVERTON",450163.463554382
-111.8910474,40.7607793,"SALT LAKE CITY",626056.945465088
-111.248317,45.6708969,"BUTTE-BOZEMAN",530083.524627686
-110.926479,32.2217429,"TUCSON (SIERRA VISTA)",726178.902709961
-108.5006904,45.7832856,"BILLINGS",607048.723396301
-106.4850217,31.7618778,"EL PASO (LAS CRUCES)",677637.465576172
-105.943054,35.684189,"ALBUQUERQUE-SANTA FE",677256.324707031
-104.990251,39.7392358,"DENVER",545241.524719238
-104.8210764,38.8287881,"COLORADO SPRINGS-PUEBLO",652639.56463623
-104.7107931,47.106401,"GLENDIVE",111530.920721769
-103.637984,41.876312,"CHEYENNE-SCOTTSBLUFF",501015.781683445
-103.2310149,44.0805434,"RAPID CITY",443300.111381531
-102.3676431,31.8456816,"ODESSA-MIDLAND",680837.361328125
-101.8551665,33.5778631,"LUBBOCK",655127.125732422
-101.8312969,35.2219971,"AMARILLO",663936.349975586
-101.2814405,48.2095667,"MINOT-BSMRCK-DCKNSN(WLSTN)",494316.850649595
-100.7601454,41.1402759,"NORTH PLATTE",290265.100976944
-100.4370375,31.4637723,"SAN ANGELO",718327.475158691
-99.7667996,32.3869899,"ABILENE-SWEETWATER",669469.165710449
-98.4061025,34.6236424,"WICHITA FALLS & LAWTON",678517.056518555
-98.003525,46.9244066,"FARGO-VALLEY CITY",532551.091075897
-97.7430608,30.267153,"AUSTIN",678544.905029297
-97.5164276,35.4675602,"OKLAHOMA CITY",697218.463439941
-97.3290048,37.6869542,"WICHITA-HUTCHINSON PLUS",680113.639038086
-97.0403352,32.8998091,"DALLAS-FT. WORTH",685354.438354492
-96.7311034,43.5445959,"SIOUX FALLS(MITCHELL)",593645.687583923
-96.4003069,42.4999942,"SIOUX CITY",564010.927330017
-95.9979883,41.2523634,"OMAHA",653911.887580872
-95.992775,36.1539816,"TULSA",654045.736328125
-95.6890185,39.0558235,"TOPEKA",615786.477813721
-94.846681,39.7674578,"ST. JOSEPH",590497.308685303
-94.7327452,32.5573729,"TYLER-LONGVIEW(LFKN&NCGD)",642509.145385742
-94.7049818,37.4404603,"JOPLIN-PITTSBURG",630237.969238281
-94.5785667,39.0997265,"KANSAS CITY",683440.68939209
-93.9993996,44.1635775,"MANKATO",504940.236688614
-93.7501789,32.5251516,"SHREVEPORT",648178.585693359
-93.647865,41.997294,"DES MOINES-AMES",542853.426063538
-93.2922989,37.2089572,"SPRINGFIELD, MO",676657.776855469
-93.2173758,30.2265949,"LAKE CHARLES",672663.298339844
-93.2009998,44.9374831,"MINNEAPOLIS-ST. PAUL",567349.060562134
-92.6403081,33.2152495,"MONROE-EL DORADO",517359.751266479
-92.5804557,40.2649878,"OTTUMWA-KIRKSVILLE",411196.952721238
-92.4451371,31.3112936,"ALEXANDRIA, LA",492993.763298035
-92.2439177,38.5709147,"COLUMBIA-JEFFERSON CITY",625778.958282471
-92.217227,34.5982483,"LITTLE ROCK-PINE BLUFF",647940.762939453
-92.1004852,46.7866719,"DULUTH-SUPERIOR",536844.044769287
-92.0198427,30.2240897,"LAFAYETTE, LA",571654.583374023
-91.4744656,44.865176,"LA CROSSE-EAU CLAIRE",434706.044363499
-91.1403196,30.4582829,"BATON ROUGE",695113.643188477
-90.704279,35.8422967,"JONESBORO",490379.024734497
-90.5644238,41.5178855,"DAVENPORT-R.ISLAND-MOLINE",575859.407279968
-90.1994042,38.6270025,"ST. LOUIS",678705.951538086
-90.1848103,32.2987573,"JACKSON MS",668927.058776855
-90.0489801,35.1495343,"MEMPHIS",669504.395629883
-89.5340696,40.6517525,"PEORIA-BLOOMINGTON",579680.814979553
-89.4012302,43.0730517,"MADISON",436437.362817764
-89.3920037,45.6555505,"WAUSAU-RHINELANDER",562811.107954025
-89.335421,31.468239,"HATTIESBURG-LAUREL",492292.98125267
-89.2086773,38.6083617,"MERIDIAN",362229.929073334
-89.0939952,42.2711311,"ROCKFORD",698894.315490723
-89.0728276,30.4062636,"BILOXI-GULFPORT",744527.021728516
-88.8139469,35.6145169,"JACKSON, TN",498324.967746735
-88.2655618,44.2942659,"GREEN BAY-APPLETON",540940.280807495
-88.2449112,40.1131557,"CHAMPAIGN&SPRNGFLD-DECATUR",628599.191864014
-87.9297546,43.0382216,"MARQUETTE",539714.3620224
-87.9064736,43.0389025,"MILWAUKEE",602082.8764534
-87.6297982,41.8781136,"CHICAGO",687583.389648438
-87.5710898,37.9715592,"EVANSVILLE",671044.897949219
-87.4139092,39.4667034,"TERRE HAUTE",348011.670715332
-87.2087176,30.4728588,"MOBILE-PENSACOLA (FT WALT)",712881.732421875
-87.0328647,32.4122742,"MONTGOMERY-SELMA",617155.908187866
-86.8752869,40.4167022,"LAFAYETTE, IN",604411.199897766
-86.7816016,36.1626638,"NASHVILLE",734745.516906738
-86.630614,35.3459712,"RICHMOND-PETERSBURG",681550.976196289
-86.5775108,34.7132151,"HUNTSVILLE-DECATUR (FLOR)",611698.753936768
-86.158068,39.768403,"INDIANAPOLIS",641940.857269287
-85.9707235,41.6842522,"SOUTH BEND-ELKHART",602650.573562622
-85.7584557,38.2526647,"LOUISVILLE",643802.526306152
-85.6260727,42.8839632,"GRAND RAPIDS-KALMZOO-B.CRK",647035.483634949
-85.5948556,44.7436134,"TRAVERSE CITY-CADILLAC",540669.856437683
-85.3904888,31.2232313,"DOTHAN",635195.179199219
-85.3096801,35.0456297,"CHATTANOOGA",702971.220703125
-85.1393513,41.079273,"FT. WAYNE",577715.501159668
-84.9877094,32.4609764,"COLUMBUS, GA (OPELIKA, AL)",699491.018554688
