"Date","Retalier","xgb_predict"
2016-06-26,"ACE",2005.0048828125
2016-07-03,"ACE",2936.40185546875
2016-07-10,"ACE",2315.89379882812
2016-07-17,"ACE",2194.439453125
2016-07-24,"ACE",2438.03369140625
2016-07-31,"ACE",2646.11840820312
2016-08-07,"ACE",2999.71044921875
2016-08-14,"ACE",3431.16162109375
2016-08-21,"ACE",3723.24267578125
2016-08-28,"ACE",3831.09912109375
2016-09-04,"ACE",2664.81640625
2016-09-11,"ACE",2054.00415039062
2016-09-18,"ACE",2831.3046875
2016-09-25,"ACE",2843.173828125
2016-10-02,"ACE",2500.07763671875
2016-10-09,"ACE",2847.45947265625
2016-10-16,"ACE",2640.95336914062
2016-10-23,"ACE",2467.794921875
2016-10-30,"ACE",2584.54248046875
2016-11-06,"ACE",2997.90112304688
2016-11-13,"ACE",1119.22497558594
2016-11-20,"ACE",1574.96569824219
2016-11-27,"ACE",1399.47473144531
2016-12-04,"ACE",1540.48669433594
2016-12-11,"ACE",1694.18420410156
2016-12-18,"ACE",1529.09191894531
2016-12-25,"ACE",703.514099121094
2017-01-01,"ACE",1486.30883789062
2017-01-08,"ACE",1234.4951171875
2017-01-15,"ACE",1413.19555664062
2017-01-22,"ACE",1139.41467285156
2017-01-29,"ACE",1325.97998046875
2017-02-05,"ACE",1671.09655761719
2017-02-12,"ACE",2244.4150390625
2017-02-19,"ACE",1635.33251953125
2017-02-26,"ACE",1904.98315429688
2017-03-05,"ACE",1883.12683105469
2017-03-12,"ACE",2109.03515625
2017-03-19,"ACE",2426.53662109375
2017-03-26,"ACE",2551.59912109375
2017-04-02,"ACE",2409.98901367188
2017-04-09,"ACE",2492.97705078125
2017-04-16,"ACE",2720.80297851562
2017-04-23,"ACE",2505.51391601562
2017-04-30,"ACE",2564.88720703125
2017-05-07,"ACE",2684.78393554688
2017-05-14,"ACE",3242.40258789062
2017-05-21,"ACE",2505.40747070312
2017-05-28,"ACE",2250.7109375
2017-06-04,"ACE",2533.78857421875
2017-06-11,"ACE",2644.28466796875
2017-06-18,"ACE",2169.3125
2017-06-25,"ACE",2153.65551757812
2016-06-26,"ACE",1201.32189941406
2016-07-03,"ACE",768.055297851562
2016-07-10,"ACE",1782.73681640625
2016-07-17,"ACE",700.512145996094
2016-07-24,"ACE",824.760131835938
2016-07-31,"ACE",2232.82739257812
2016-08-07,"ACE",492.404754638672
2016-08-14,"ACE",304.155731201172
2016-08-21,"ACE",869.854248046875
2016-08-28,"ACE",731.390686035156
2016-09-04,"ACE",683.297302246094
2016-09-11,"ACE",569.101928710938
2016-09-18,"ACE",460.316955566406
2016-09-25,"ACE",637.671691894531
2016-10-02,"ACE",341.070281982422
2016-10-09,"ACE",526.142639160156
2016-10-16,"ACE",550.337768554688
2016-10-23,"ACE",641.470275878906
2016-10-30,"ACE",771.142211914062
2016-11-06,"ACE",1301.8291015625
2016-11-13,"ACE",798.396240234375
2016-11-20,"ACE",788.7265625
2016-11-27,"ACE",2118.32080078125
2016-12-04,"ACE",717.129516601562
2016-12-11,"ACE",261.997711181641
2016-12-18,"ACE",458.686584472656
2016-12-25,"ACE",681.858032226562
2017-01-01,"ACE",101.165603637695
2017-01-08,"ACE",-9.04813861846924
2017-01-15,"ACE",289.085571289062
2017-01-22,"ACE",1175.9697265625
2017-01-29,"ACE",80.6254348754883
2017-02-05,"ACE",414.505340576172
2017-02-12,"ACE",831.993835449219
2017-02-19,"ACE",616.496948242188
2017-02-26,"ACE",686.777954101562
2017-03-05,"ACE",783.607849121094
2017-03-12,"ACE",794.433166503906
2017-03-19,"ACE",480.067321777344
2017-03-26,"ACE",782.885314941406
2017-04-02,"ACE",1019.64392089844
2017-04-09,"ACE",684.042114257812
2017-04-16,"ACE",1153.2021484375
2017-04-23,"ACE",1342.6826171875
2017-04-30,"ACE",1201.00451660156
2017-05-07,"ACE",579.312072753906
2017-05-14,"ACE",604.269104003906
2017-05-21,"ACE",578.707336425781
2017-05-28,"ACE",665.13818359375
2017-06-04,"ACE",931.340637207031
2017-06-11,"ACE",621.569702148438
2017-06-18,"ACE",720.767333984375
2017-06-25,"ACE",604.183349609375
2016-06-26,"ACE",2815.974609375
2016-07-03,"ACE",3667.1552734375
2016-07-10,"ACE",3232.61572265625
2016-07-17,"ACE",3504.8291015625
2016-07-24,"ACE",3610.142578125
2016-07-31,"ACE",3351.0068359375
2016-08-07,"ACE",3711.69921875
2016-08-14,"ACE",3653.99975585938
2016-08-21,"ACE",3565.9345703125
2016-08-28,"ACE",3552.6298828125
2016-09-04,"ACE",3820.70654296875
2016-09-11,"ACE",3431.49462890625
2016-09-18,"ACE",3549.1884765625
2016-09-25,"ACE",3525.4453125
2016-10-02,"ACE",3464.09326171875
2016-10-09,"ACE",3118.30419921875
2016-10-16,"ACE",3621.40747070312
2016-10-23,"ACE",3415.24267578125
2016-10-30,"ACE",3271.07373046875
2016-11-06,"ACE",3432.3212890625
2016-11-13,"ACE",3222.712890625
2016-11-20,"ACE",3655.0068359375
2016-11-27,"ACE",1542.46936035156
2016-12-04,"ACE",2841.73583984375
2016-12-11,"ACE",474.5615234375
2016-12-18,"ACE",1000.04650878906
2016-12-25,"ACE",832.7353515625
2017-01-01,"ACE",521.017333984375
2017-01-08,"ACE",487.266906738281
2017-01-15,"ACE",819.139221191406
2017-01-22,"ACE",2351.1953125
2017-01-29,"ACE",737.2529296875
2017-02-05,"ACE",566.830871582031
2017-02-12,"ACE",1969.35656738281
2017-02-19,"ACE",951.698486328125
2017-02-26,"ACE",3182.859375
2017-03-05,"ACE",1918.56396484375
2017-03-12,"ACE",1753.14501953125
2017-03-19,"ACE",1113.25427246094
2017-03-26,"ACE",1738.41540527344
2017-04-02,"ACE",2782.5908203125
2017-04-09,"ACE",3695.8349609375
2017-04-16,"ACE",3149.064453125
2017-04-23,"ACE",3651.0419921875
2017-04-30,"ACE",3801.517578125
2017-05-07,"ACE",3473.60986328125
2017-05-14,"ACE",3719.81787109375
2017-05-21,"ACE",3250.48828125
2017-05-28,"ACE",3500.92041015625
2017-06-04,"ACE",3016.583984375
2017-06-11,"ACE",3042.4306640625
2017-06-18,"ACE",3373.19946289062
2017-06-25,"ACE",3378.95141601562
2016-06-26,"ACE",3211.59033203125
2016-07-03,"ACE",3176.7626953125
2016-07-10,"ACE",3079.40307617188
2016-07-17,"ACE",3174.98315429688
2016-07-24,"ACE",3323.36694335938
2016-07-31,"ACE",3039.435546875
2016-08-07,"ACE",3111.7568359375
2016-08-14,"ACE",3132.34936523438
2016-08-21,"ACE",3089.53491210938
2016-08-28,"ACE",3118.46313476562
2016-09-04,"ACE",3019.5859375
2016-09-11,"ACE",3110.3857421875
2016-09-18,"ACE",3118.46313476562
2016-09-25,"ACE",3258.19458007812
2016-10-02,"ACE",3135.2958984375
2016-10-09,"ACE",3120.841796875
2016-10-16,"ACE",3275.88061523438
2016-10-23,"ACE",3135.603515625
2016-10-30,"ACE",2987.21484375
2016-11-06,"ACE",3059.318359375
2016-11-13,"ACE",3046.03442382812
2016-11-20,"ACE",2948.58544921875
2016-11-27,"ACE",2840.1640625
2016-12-04,"ACE",2368.60107421875
2016-12-11,"ACE",2179.36743164062
2016-12-18,"ACE",2479.51196289062
2016-12-25,"ACE",2412.75512695312
2017-01-01,"ACE",2200.970703125
2017-01-08,"ACE",2423.30932617188
2017-01-15,"ACE",2611.724609375
2017-01-22,"ACE",2218.14575195312
2017-01-29,"ACE",2702.60498046875
2017-02-05,"ACE",3059.27954101562
2017-02-12,"ACE",3082.69482421875
2017-02-19,"ACE",2983.09716796875
2017-02-26,"ACE",3060.68872070312
2017-03-05,"ACE",2981.79931640625
2017-03-12,"ACE",3212.18139648438
2017-03-19,"ACE",3143.34228515625
2017-03-26,"ACE",3159.88305664062
2017-04-02,"ACE",3215.83520507812
2017-04-09,"ACE",3336.55883789062
2017-04-16,"ACE",3127.52905273438
2017-04-23,"ACE",3248.52856445312
2017-04-30,"ACE",2776.73779296875
2017-05-07,"ACE",3110.07641601562
2017-05-14,"ACE",3106.56127929688
2017-05-21,"ACE",3155.78100585938
2017-05-28,"ACE",3171.59106445312
2017-06-04,"ACE",3041.75463867188
2017-06-11,"ACE",2989.96069335938
2017-06-18,"ACE",3246.455078125
2017-06-25,"ACE",3372.9013671875
2016-06-26,"ACE",1693.943359375
2016-07-03,"ACE",1538.27563476562
2016-07-10,"ACE",1605.40502929688
2016-07-17,"ACE",2012.07580566406
2016-07-24,"ACE",1083.65551757812
2016-07-31,"ACE",779.280639648438
2016-08-07,"ACE",1289.634765625
2016-08-14,"ACE",842.02880859375
2016-08-21,"ACE",1333.71264648438
2016-08-28,"ACE",1337.88342285156
2016-09-04,"ACE",608.184936523438
2016-09-11,"ACE",934.586242675781
2016-09-18,"ACE",801.010070800781
2016-09-25,"ACE",841.43603515625
2016-10-02,"ACE",1093.89697265625
2016-10-09,"ACE",600.087158203125
2016-10-16,"ACE",1513.63049316406
2016-10-23,"ACE",548.192932128906
2016-10-30,"ACE",622.521118164062
2016-11-06,"ACE",687.954040527344
2016-11-13,"ACE",561.703002929688
2016-11-20,"ACE",1367.99719238281
2016-11-27,"ACE",1239.32446289062
2016-12-04,"ACE",266.273132324219
2016-12-11,"ACE",397.884033203125
2016-12-18,"ACE",862.62890625
2016-12-25,"ACE",914.250427246094
2017-01-01,"ACE",848.379333496094
2017-01-08,"ACE",325.072326660156
2017-01-15,"ACE",852.949768066406
2017-01-22,"ACE",1388.25085449219
2017-01-29,"ACE",860.412780761719
2017-02-05,"ACE",1130.29577636719
2017-02-12,"ACE",2564.44140625
2017-02-19,"ACE",1699.73413085938
2017-02-26,"ACE",2074.84057617188
2017-03-05,"ACE",708.912048339844
2017-03-12,"ACE",1343.03076171875
2017-03-19,"ACE",1952.58435058594
2017-03-26,"ACE",1572.53295898438
2017-04-02,"ACE",1038.81103515625
2017-04-09,"ACE",1178.03955078125
2017-04-16,"ACE",1700.10681152344
2017-04-23,"ACE",1007.58972167969
2017-04-30,"ACE",1034.73217773438
2017-05-07,"ACE",1254.02966308594
2017-05-14,"ACE",1104.857421875
2017-05-21,"ACE",854.353759765625
2017-05-28,"ACE",1107.54333496094
2017-06-04,"ACE",824.793029785156
2017-06-11,"ACE",612.315063476562
2017-06-18,"ACE",1208.88598632812
2017-06-25,"ACE",854.865661621094
2016-06-26,"ACE",1174.45361328125
2016-07-03,"ACE",1507.56640625
2016-07-10,"ACE",595.920837402344
2016-07-17,"ACE",729.967041015625
2016-07-24,"ACE",834.001037597656
2016-07-31,"ACE",1183.20788574219
2016-08-07,"ACE",818.117309570312
2016-08-14,"ACE",554.8583984375
2016-08-21,"ACE",1114.818359375
2016-08-28,"ACE",711.06591796875
2016-09-04,"ACE",2208.9111328125
2016-09-11,"ACE",590.100830078125
2016-09-18,"ACE",1768.3583984375
2016-09-25,"ACE",1321.333984375
2016-10-02,"ACE",602.812072753906
2016-10-09,"ACE",1967.30639648438
2016-10-16,"ACE",1352.49243164062
2016-10-23,"ACE",1040.33386230469
2016-10-30,"ACE",386.388763427734
2016-11-06,"ACE",853.861328125
2016-11-13,"ACE",880.992126464844
2016-11-20,"ACE",800.296569824219
2016-11-27,"ACE",995.080383300781
2016-12-04,"ACE",-231.138473510742
2016-12-11,"ACE",350.730712890625
2016-12-18,"ACE",98.0498580932617
2016-12-25,"ACE",306.265197753906
2017-01-01,"ACE",47.8548469543457
2017-01-08,"ACE",-8.84467506408691
2017-01-15,"ACE",275.218414306641
2017-01-22,"ACE",596.271118164062
2017-01-29,"ACE",178.360580444336
2017-02-05,"ACE",-61.090705871582
2017-02-12,"ACE",33.5627326965332
2017-02-19,"ACE",1011.10131835938
2017-02-26,"ACE",678.936157226562
2017-03-05,"ACE",384.671478271484
2017-03-12,"ACE",642.193420410156
2017-03-19,"ACE",846.439575195312
2017-03-26,"ACE",729.321655273438
2017-04-02,"ACE",612.759460449219
2017-04-09,"ACE",1690.29870605469
2017-04-16,"ACE",992.744995117188
2017-04-23,"ACE",576.368591308594
2017-04-30,"ACE",963.246459960938
2017-05-07,"ACE",424.702087402344
2017-05-14,"ACE",1125.70739746094
2017-05-21,"ACE",1090.53771972656
2017-05-28,"ACE",826.685729980469
2017-06-04,"ACE",876.043884277344
2017-06-11,"ACE",1114.34521484375
2017-06-18,"ACE",696.012939453125
2017-06-25,"ACE",1051.33947753906
2016-06-26,"ACE",3018.2109375
2016-07-03,"ACE",3088.8349609375
2016-07-10,"ACE",3266.23413085938
2016-07-17,"ACE",3050.40844726562
2016-07-24,"ACE",3286.88159179688
2016-07-31,"ACE",3062.34692382812
2016-08-07,"ACE",3041.52099609375
2016-08-14,"ACE",3276.67724609375
2016-08-21,"ACE",3229.34448242188
2016-08-28,"ACE",3130.38452148438
2016-09-04,"ACE",2922.19189453125
2016-09-11,"ACE",3007.87622070312
2016-09-18,"ACE",3109.958984375
2016-09-25,"ACE",3115.21264648438
2016-10-02,"ACE",3267.58081054688
2016-10-09,"ACE",3183.4169921875
2016-10-16,"ACE",3392.8046875
2016-10-23,"ACE",3473.4091796875
2016-10-30,"ACE",3058.291015625
2016-11-06,"ACE",3023.4130859375
2016-11-13,"ACE",3275.248046875
2016-11-20,"ACE",3216.96728515625
2016-11-27,"ACE",2876.88891601562
2016-12-04,"ACE",2836.57275390625
2016-12-11,"ACE",1503.44348144531
2016-12-18,"ACE",1225.59973144531
2016-12-25,"ACE",2352.53735351562
2017-01-01,"ACE",2005.23522949219
2017-01-08,"ACE",1046.31457519531
2017-01-15,"ACE",1768.63317871094
2017-01-22,"ACE",2328.92163085938
2017-01-29,"ACE",1759.19812011719
2017-02-05,"ACE",2625.94946289062
2017-02-12,"ACE",3290.90747070312
2017-02-19,"ACE",2774.70458984375
2017-02-26,"ACE",2909.22436523438
2017-03-05,"ACE",3331.1318359375
2017-03-12,"ACE",3194.3564453125
2017-03-19,"ACE",3257.79956054688
2017-03-26,"ACE",3358.07763671875
2017-04-02,"ACE",2994.07299804688
2017-04-09,"ACE",3323.94140625
2017-04-16,"ACE",3264.07177734375
2017-04-23,"ACE",3314.33349609375
2017-04-30,"ACE",2907.68530273438
2017-05-07,"ACE",3451.99755859375
2017-05-14,"ACE",3183.14965820312
2017-05-21,"ACE",3255.78515625
2017-05-28,"ACE",3246.54931640625
2017-06-04,"ACE",3115.36669921875
2017-06-11,"ACE",3204.72021484375
2017-06-18,"ACE",3261.4794921875
2017-06-25,"ACE",2938.49853515625
2016-06-26,"ACE",3382.12426757812
2016-07-03,"ACE",3122.421875
2016-07-10,"ACE",3273.23950195312
2016-07-17,"ACE",3424.26953125
2016-07-24,"ACE",3323.67602539062
2016-07-31,"ACE",3307.4638671875
2016-08-07,"ACE",3066.83862304688
2016-08-14,"ACE",3537.6220703125
2016-08-21,"ACE",3473.88891601562
2016-08-28,"ACE",3198.31884765625
2016-09-04,"ACE",3040.13793945312
2016-09-11,"ACE",3288.60131835938
2016-09-18,"ACE",3145.68725585938
2016-09-25,"ACE",3086.63208007812
2016-10-02,"ACE",3079.05737304688
2016-10-09,"ACE",2987.58764648438
2016-10-16,"ACE",3220.27709960938
2016-10-23,"ACE",3210.373046875
2016-10-30,"ACE",3118.7548828125
2016-11-06,"ACE",3178.16552734375
2016-11-13,"ACE",2719.080078125
2016-11-20,"ACE",2760.98486328125
2016-11-27,"ACE",2761.50903320312
2016-12-04,"ACE",4469.42529296875
2016-12-11,"ACE",3143.04345703125
2016-12-18,"ACE",1971.02697753906
2016-12-25,"ACE",2822.24926757812
2017-01-01,"ACE",2369.65991210938
2017-01-08,"ACE",2043.9521484375
2017-01-15,"ACE",2659.537109375
2017-01-22,"ACE",3197.05419921875
2017-01-29,"ACE",2757.88208007812
2017-02-05,"ACE",2810.4521484375
2017-02-12,"ACE",2878.4736328125
2017-02-19,"ACE",3077.16748046875
2017-02-26,"ACE",2864.20947265625
2017-03-05,"ACE",2831.06201171875
2017-03-12,"ACE",2654.66821289062
2017-03-19,"ACE",3053.56103515625
2017-03-26,"ACE",2976.03564453125
2017-04-02,"ACE",2989.5673828125
2017-04-09,"ACE",3228.57666015625
2017-04-16,"ACE",3194.72875976562
2017-04-23,"ACE",3412.09887695312
2017-04-30,"ACE",3026.61669921875
2017-05-07,"ACE",3182.05908203125
2017-05-14,"ACE",3118.24731445312
2017-05-21,"ACE",3246.53076171875
2017-05-28,"ACE",3383.18310546875
2017-06-04,"ACE",3132.09814453125
2017-06-11,"ACE",3190.86743164062
2017-06-18,"ACE",3252.57592773438
2017-06-25,"ACE",3388.79614257812
2016-06-26,"ACE",2966.4130859375
2016-07-03,"ACE",3504.05029296875
2016-07-10,"ACE",2714.56298828125
2016-07-17,"ACE",3552.55322265625
2016-07-24,"ACE",3363.68090820312
2016-07-31,"ACE",3092.56640625
2016-08-07,"ACE",3394.080078125
2016-08-14,"ACE",3274.228515625
2016-08-21,"ACE",2774.16040039062
2016-08-28,"ACE",2967.13256835938
2016-09-04,"ACE",2992.16259765625
2016-09-11,"ACE",3077.658203125
2016-09-18,"ACE",3237.2333984375
2016-09-25,"ACE",2897.51245117188
2016-10-02,"ACE",3088.60961914062
2016-10-09,"ACE",3176.20947265625
2016-10-16,"ACE",3185.9296875
2016-10-23,"ACE",3214.75659179688
2016-10-30,"ACE",3143.88134765625
2016-11-06,"ACE",3120.91162109375
2016-11-13,"ACE",3155.0615234375
2016-11-20,"ACE",3160.88159179688
2016-11-27,"ACE",3135.25952148438
2016-12-04,"ACE",2715.79174804688
2016-12-11,"ACE",2198.705078125
